state,state_code,year,month,all_births,white_births,black_births,hisp_births,all_denom,white_denom,black_denom,hisp_denom,otherrace_births,otherrace_denom
Alabama,1,2016,January,4805,2786,1462,381,952796,580142,292632,43095,176,36927
Alabama,1,2016,February,4718,2846,1381,349,952796,580142,292632,43095,142,36927
Alabama,1,2016,March,4825,2839,1430,404,952796,580142,292632,43095,152,36927
Alabama,1,2016,April,4527,2730,1305,332,952796,580142,292632,43095,160,36927
Alabama,1,2016,May,4802,2908,1400,362,952796,580142,292632,43095,132,36927
Alabama,1,2016,June,5047,3077,1450,364,952796,580142,292632,43095,156,36927
Alabama,1,2016,July,5043,2971,1511,388,952796,580142,292632,43095,173,36927
Alabama,1,2016,August,5325,3149,1564,420,952796,580142,292632,43095,192,36927
Alabama,1,2016,September,5239,3075,1550,414,952796,580142,292632,43095,200,36927
Alabama,1,2016,October,4973,2933,1497,382,952796,580142,292632,43095,161,36927
Alabama,1,2016,November,4910,2815,1550,373,952796,580142,292632,43095,172,36927
Alabama,1,2016,December,4937,2770,1595,411,952796,580142,292632,43095,161,36927
Alabama,1,2017,January,4937,2872,1535,379,949949,576304,291820,44330,151,37495
Alabama,1,2017,February,4497,2575,1370,380,949949,576304,291820,44330,172,37495
Alabama,1,2017,March,4809,2837,1447,368,949949,576304,291820,44330,157,37495
Alabama,1,2017,April,4383,2643,1249,332,949949,576304,291820,44330,159,37495
Alabama,1,2017,May,4763,2884,1382,347,949949,576304,291820,44330,150,37495
Alabama,1,2017,June,4823,2852,1413,378,949949,576304,291820,44330,180,37495
Alabama,1,2017,July,5053,2875,1583,415,949949,576304,291820,44330,180,37495
Alabama,1,2017,August,5539,3246,1670,438,949949,576304,291820,44330,185,37495
Alabama,1,2017,September,5211,3059,1592,373,949949,576304,291820,44330,187,37495
Alabama,1,2017,October,5061,2903,1577,404,949949,576304,291820,44330,177,37495
Alabama,1,2017,November,4969,2825,1587,378,949949,576304,291820,44330,179,37495
Alabama,1,2017,December,4896,2806,1558,354,949949,576304,291820,44330,178,37495
Alabama,1,2018,January,4902,2852,1512,381,948768,574448,290759,45356,157,38205
Alabama,1,2018,February,4342,2454,1381,352,948768,574448,290759,45356,155,38205
Alabama,1,2018,March,4761,2823,1391,381,948768,574448,290759,45356,166,38205
Alabama,1,2018,April,4393,2577,1319,338,948768,574448,290759,45356,159,38205
Alabama,1,2018,May,4785,2843,1427,340,948768,574448,290759,45356,175,38205
Alabama,1,2018,June,4768,2845,1417,347,948768,574448,290759,45356,159,38205
Alabama,1,2018,July,4936,2899,1495,372,948768,574448,290759,45356,170,38205
Alabama,1,2018,August,5275,3108,1580,409,948768,574448,290759,45356,178,38205
Alabama,1,2018,September,4816,2841,1470,349,948768,574448,290759,45356,156,38205
Alabama,1,2018,October,5003,2883,1550,403,948768,574448,290759,45356,167,38205
Alabama,1,2018,November,4819,2817,1491,345,948768,574448,290759,45356,166,38205
Alabama,1,2018,December,4961,2834,1564,386,948768,574448,290759,45356,177,38205
Alabama,1,2019,January,5036,2902,1566,368,949318,574017,290092,46537,200,38672
Alabama,1,2019,February,4399,2534,1389,327,949318,574017,290092,46537,149,38672
Alabama,1,2019,March,4531,2637,1345,371,949318,574017,290092,46537,178,38672
Alabama,1,2019,April,4535,2622,1402,361,949318,574017,290092,46537,150,38672
Alabama,1,2019,May,4807,2781,1472,387,949318,574017,290092,46537,167,38672
Alabama,1,2019,June,4470,2593,1329,390,949318,574017,290092,46537,158,38672
Alabama,1,2019,July,5068,2830,1568,460,949318,574017,290092,46537,210,38672
Alabama,1,2019,August,5460,3049,1741,488,949318,574017,290092,46537,182,38672
Alabama,1,2019,September,5228,2937,1675,434,949318,574017,290092,46537,182,38672
Alabama,1,2019,October,5205,3055,1541,430,949318,574017,290092,46537,179,38672
Alabama,1,2019,November,4770,2610,1526,450,949318,574017,290092,46537,184,38672
Alabama,1,2019,December,5106,2844,1643,444,949318,574017,290092,46537,175,38672
Alabama,1,2020,January,4955,2713,1651,436,951615,575107,289571,47433,155,39504
Alabama,1,2020,February,4449,2492,1403,407,951615,575107,289571,47433,147,39504
Alabama,1,2020,March,4775,2812,1387,403,951615,575107,289571,47433,173,39504
Alabama,1,2020,April,4567,2621,1423,381,951615,575107,289571,47433,142,39504
Alabama,1,2020,May,4510,2612,1322,417,951615,575107,289571,47433,159,39504
Alabama,1,2020,June,4799,2736,1462,437,951615,575107,289571,47433,164,39504
Alabama,1,2020,July,5224,2968,1566,496,951615,575107,289571,47433,194,39504
Alabama,1,2020,August,5201,2912,1600,487,951615,575107,289571,47433,202,39504
Alabama,1,2020,September,5001,2848,1509,489,951615,575107,289571,47433,155,39504
Alabama,1,2020,October,4777,2694,1459,457,951615,575107,289571,47433,167,39504
Alabama,1,2020,November,4484,2483,1421,426,951615,575107,289571,47433,154,39504
Alabama,1,2020,December,4905,2781,1543,397,951615,575107,289571,47433,184,39504
Alabama,1,2021,January,4553,2611,1383,412,976400,589049,296077,50430,147,40844
Alabama,1,2021,February,4385,2547,1286,417,976400,589049,296077,50430,135,40844
Alabama,1,2021,March,4756,2797,1355,430,976400,589049,296077,50430,174,40844
Alabama,1,2021,April,4519,2666,1231,445,976400,589049,296077,50430,177,40844
Alabama,1,2021,May,4512,2656,1270,416,976400,589049,296077,50430,170,40844
Alabama,1,2021,June,4930,2960,1315,454,976400,589049,296077,50430,201,40844
Alabama,1,2021,July,5154,3027,1442,485,976400,589049,296077,50430,200,40844
Alabama,1,2021,August,5172,3057,1469,480,976400,589049,296077,50430,166,40844
Alabama,1,2021,September,5147,2934,1471,554,976400,589049,296077,50430,188,40844
Alabama,1,2021,October,4968,2856,1387,529,976400,589049,296077,50430,196,40844
Alabama,1,2021,November,4900,2781,1422,511,976400,589049,296077,50430,186,40844
Alabama,1,2021,December,5058,2883,1480,515,976400,589049,296077,50430,180,40844
Alabama,1,2022,January,4808,2722,1418,494,991098,596507,298952,53097,174,42542
Alabama,1,2022,February,4383,2491,1250,474,991098,596507,298952,53097,168,42542
Alabama,1,2022,March,4806,2834,1344,469,991098,596507,298952,53097,159,42542
Alabama,1,2022,April,4456,2628,1200,476,991098,596507,298952,53097,152,42542
Alabama,1,2022,May,4588,2656,1234,505,991098,596507,298952,53097,193,42542
Alabama,1,2022,June,4709,2792,1249,479,991098,596507,298952,53097,189,42542
Alabama,1,2022,July,5006,2899,1389,549,991098,596507,298952,53097,169,42542
Alabama,1,2022,August,5494,3148,1556,578,991098,596507,298952,53097,212,42542
Alabama,1,2022,September,5053,2973,1330,558,991098,596507,298952,53097,192,42542
Alabama,1,2022,October,4839,2833,1278,561,991098,596507,298952,53097,167,42542
Alabama,1,2022,November,4919,2796,1391,546,991098,596507,298952,53097,186,42542
Alabama,1,2022,December,5088,2953,1428,542,991098,596507,298952,53097,165,42542
Alabama,1,2023,January,4996,2827,1439,564,NA,NA,NA,NA,166,NA
Alabama,1,2023,February,4406,2490,1235,509,NA,NA,NA,NA,172,NA
Alabama,1,2023,March,4910,2848,1333,535,NA,NA,NA,NA,194,NA
Alabama,1,2023,April,4376,2505,1192,521,NA,NA,NA,NA,158,NA
Alabama,1,2023,May,4637,2696,1250,520,NA,NA,NA,NA,171,NA
Alabama,1,2023,June,4821,2863,1215,574,NA,NA,NA,NA,169,NA
Alabama,1,2023,July,4896,2797,1276,632,NA,NA,NA,NA,191,NA
Alabama,1,2023,August,5157,3017,1340,605,NA,NA,NA,NA,195,NA
Alabama,1,2023,September,4986,2867,1331,610,NA,NA,NA,NA,178,NA
Alabama,1,2023,October,4937,2834,1315,596,NA,NA,NA,NA,192,NA
Alabama,1,2023,November,4813,2764,1275,585,NA,NA,NA,NA,189,NA
Alabama,1,2023,December,0,0,0,0,NA,NA,NA,NA,0,NA
Alaska,2,2016,January,938,500,28,56,147371,84900,4945,11643,354,45883
Alaska,2,2016,February,840,462,23,59,147371,84900,4945,11643,296,45883
Alaska,2,2016,March,967,529,26,70,147371,84900,4945,11643,342,45883
Alaska,2,2016,April,912,466,14,77,147371,84900,4945,11643,355,45883
Alaska,2,2016,May,955,513,25,72,147371,84900,4945,11643,345,45883
Alaska,2,2016,June,980,514,23,61,147371,84900,4945,11643,382,45883
Alaska,2,2016,July,955,467,31,74,147371,84900,4945,11643,383,45883
Alaska,2,2016,August,957,466,16,77,147371,84900,4945,11643,398,45883
Alaska,2,2016,September,951,497,35,63,147371,84900,4945,11643,356,45883
Alaska,2,2016,October,958,472,38,68,147371,84900,4945,11643,380,45883
Alaska,2,2016,November,897,439,32,78,147371,84900,4945,11643,348,45883
Alaska,2,2016,December,899,462,28,56,147371,84900,4945,11643,353,45883
Alaska,2,2017,January,796,418,26,52,146072,83058,4898,11768,300,46348
Alaska,2,2017,February,783,383,29,63,146072,83058,4898,11768,308,46348
Alaska,2,2017,March,906,428,29,67,146072,83058,4898,11768,382,46348
Alaska,2,2017,April,867,434,30,60,146072,83058,4898,11768,343,46348
Alaska,2,2017,May,895,453,28,69,146072,83058,4898,11768,345,46348
Alaska,2,2017,June,896,458,24,68,146072,83058,4898,11768,346,46348
Alaska,2,2017,July,911,473,32,62,146072,83058,4898,11768,344,46348
Alaska,2,2017,August,929,494,25,72,146072,83058,4898,11768,338,46348
Alaska,2,2017,September,934,452,29,80,146072,83058,4898,11768,373,46348
Alaska,2,2017,October,864,433,23,73,146072,83058,4898,11768,335,46348
